subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Grassy Creek-Yadkin River,030401011006,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011007,38.567522623974149,24683.214476141292835,,3660,3547,68404.812222685621236,154011017.739047735929489,99889425.157058686017990,11.0560789
Bashavia Creek-Yadkin River,030401011007,Little Yadkin River-Yadkin River,0304010110,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011203,47.412258932492961,30343.845712858976185,,9078,9753,68494.723229704497498,188932436.695050358772278,122797186.905291676521301,0.1817022
Headwaters South Deep Creek,030401011101,Deep Creek,0304010111,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011103,33.027222592429695,21137.422456412838073,,3881,3711,56880.844569146014692,131495972.048681825399399,85540114.175885111093521,0.0000000
North Deep Creek,030401011102,Deep Creek,0304010111,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011103,44.607624166105765,28548.879462604032597,,6237,6163,75625.622388915930060,177670759.976333737373352,115533215.898276463150978,0.1057438
South Deep Creek-Deep Creek,030401011103,Deep Creek,0304010111,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011203,46.996623822539533,30077.839242523292342,,6283,6243,81228.658260067590163,186820706.575555294752121,121720696.540044769644737,0.2150163
Logan Creek,030401011201,Forbush Creek-Yadkin River,0304010112,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011202,26.429996124652547,16915.197517583212175,,2556,2495,55240.856843884495902,105283048.568898782134056,68453375.634709358215332,0.0000000
Forbush Creek,030401011202,Forbush Creek-Yadkin River,0304010112,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011203,27.445095383489701,17564.861043154713116,,2496,2438,58045.497474926785799,109295387.028992608189583,71082470.810937389731407,0.0000000
Turner Creek-Yadkin River,030401011203,Forbush Creek-Yadkin River,0304010112,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011501,53.008386390394890,33925.367285451575299,,13002,14424,80349.884589160181349,210604736.143961936235428,137291090.694135963916779,0.0409873
Mill Creek,030401011301,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011302,32.665500751408793,20905.920478189491405,,43557,45487,69194.126301389042055,130082371.254694178700447,84603258.534712478518486,0.0000000
Headwaters Muddy Creek,030401011302,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011303,34.996965801390154,22398.058109983987379,,16915,19057,68740.866120241509634,139525952.346558183431625,90641725.310733735561371,0.4338289
Upper Muddy Creek,030401011303,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011306,18.925869275942162,12112.556335031616982,,23414,27022,47228.220842142320180,75239496.596567153930664,49017776.323695525527000,0.0000000
Upper Salem Creek,030401011304,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011305,41.850498905137393,26784.319295813187637,,50405,53511,61771.671898498170776,166456921.529402017593384,108392295.265657067298889,0.0000000
Lower Salem Creek,030401011305,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011306,28.094883261554575,17980.725285062282637,,57451,60665,60047.592880877760763,111591240.861689284443855,72765413.747798815369606,0.5855404
Middle Muddy Creek,030401011306,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011308,25.903725136513167,16578.384085217705433,,43980,49036,65690.666221777151804,102910058.487539023160934,67090340.164353907108307,0.0000000
South Fork Muddy Creek,030401011307,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011308,44.493859742972120,28476.070231807942037,,42764,48886,81083.406148199079325,176582560.414541810750961,115238567.527977958321571,0.0000000
Lower Muddy Creek,030401011308,Muddy Creek,0304010113,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011501,28.657082018412613,18340.532489404748048,,12246,14142,62629.972839829511940,113541777.495755732059479,74221501.669741332530975,0.0000000
Upper Dutchmans Creek,030401011401,Dutchmans Creek,0304010114,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011403,30.112042692614359,19271.707320773064566,,2624,2784,52487.354667364983470,119510769.683465152978897,77989832.639481186866760,0.0000000
Cedar Creek,030401011402,Dutchmans Creek,0304010114,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011403,23.288603964699806,14904.706535474282646,,4173,3415,60715.627788713645714,92348487.868221491575241,60317207.423575967550278,0.5383307
Middle Dutchmans Creek,030401011403,Dutchmans Creek,0304010114,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011404,30.376738749585105,19441.112797212361329,,4415,4745,54949.165973518633109,120397950.292515352368355,78675392.149648874998093,0.0000000
Lower Dutchmans Creek,030401011404,Dutchmans Creek,0304010114,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011504,45.777817222929919,29297.803018874328700,,9574,9162,78840.638129735714756,181070291.491385906934738,118564002.202937334775925,0.0000000
Carters Creek-Yadkin River,030401011501,Reedy Creek-Yadkin River,0304010115,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011503,42.930182805394963,27475.316991888394114,,19843,24194,75078.185899268166395,170224067.718518823385239,111188662.941165074706078,0.0000000
Reedy Creek,030401011502,Reedy Creek-Yadkin River,0304010115,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011503,22.000919090398927,14080.588216028632814,,6004,6244,46223.528610869077966,87064826.059214100241661,56982118.774857185781002,0.0000000
Dykers Creek-Yadkin River,030401011503,Reedy Creek-Yadkin River,0304010115,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401011504,51.560367565261053,32998.635237486145343,,6937,7426,78011.930918064725120,203799599.022447139024734,133540738.899332523345947,0.1393747
Farabee Creek-Yadkin River,030401011504,Reedy Creek-Yadkin River,0304010115,Upper Yadkin,03040101,Yadkin Pee Dee,030401,030401030105,27.320382758600321,17485.044963235864998,,4548,3351,61200.662974328348355,107823139.717481002211571,70759466.427269443869591,5.6637678
Headwaters South Yadkin River,030401020101,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020103,53.457090495168721,34212.537912469575531,,4924,4680,70708.884943722252501,211827230.866389960050583,138453228.641782015562057,0.2655474
Snow Creek,030401020102,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020103,29.901085870910119,19136.694954899867298,,2011,1961,61832.959292162573547,118400518.058011248707771,77443456.945277258753777,0.0000000
Harve Creek-South Yadkin River,030401020103,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020109,25.092083986027031,16058.933748973968250,,3233,3149,55566.591683717801061,99220538.953615769743919,64988198.772037655115128,0.0000000
Upper Rocky Creek,030401020104,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020106,30.782555170117448,19700.835306319368101,,2269,2107,64758.361649313876114,122169500.710963875055313,79726451.981404349207878,0.0000000
Patterson Creek,030401020105,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020106,35.351360972270136,22624.871019317753962,,2500,2491,56339.288042181404307,140009892.186038523912430,91559604.584255695343018,1.8168280
Lower Rocky Creek,030401020106,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020109,35.617991740274910,22795.514710818672029,,2190,2232,90858.873470093341894,141177487.967365324497223,92250175.082698091864586,0.4645895
Dutchman Creek,030401020107,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020109,19.522447904023842,12494.366656954360224,,1580,1591,48022.176497345659300,77279590.362154901027679,50562908.076713807880878,0.0000000
Fifth Creek,030401020108,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020109,29.158200361741439,18661.248229093587724,,5124,5197,62342.778055650080205,115169269.627169057726860,75519392.150089800357819,1.2687384
Jack Creek-South Yadkin River,030401020109,Headwaters South Yadkin River,0304010201,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020601,30.067982217229588,19243.508616530467407,,4579,4694,81238.483117139621754,118885052.440504163503647,77875716.338512048125267,4.5991397
Headwaters Hunting Creek,030401020201,Hunting Creek,0304010202,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020204,57.058862716934698,36517.672134100757830,,2983,2291,81784.721847907305346,226788558.979818820953369,147781776.413859426975250,0.0000000
Upper North Little Hunting Creek,030401020202,Hunting Creek,0304010202,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020203,27.400443088353914,17536.283574271514226,,2320,2156,60960.786142695586022,109032595.137962758541107,70966821.710707545280457,0.0000000
Lower North Little Hunting Creek,030401020203,Hunting Creek,0304010202,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020204,27.203686391793148,17410.359288488962193,,2467,2259,52309.647601415410463,108085460.030097931623459,70457224.198879063129425,0.0000000
Upper Hunting Creek,030401020204,Hunting Creek,0304010202,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020205,34.221915392073917,21902.025848085948383,,2137,2019,75937.999123614819837,135861378.638230979442596,88634353.838645413517952,0.0000000
Middle Hunting Creek,030401020205,Hunting Creek,0304010202,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020206,39.549397870075566,25311.614633564673568,,2938,2890,70728.370173956529470,156747489.635394334793091,102432470.243188694119453,0.0000000
Lower Hunting Creek,030401020206,Hunting Creek,0304010202,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020601,20.099737070680600,12863.831723566752771,,1761,1492,51508.826214226435695,79491953.800777047872543,52058079.900719732046127,0.0000000
Headwaters Third Creek,030401020301,Third Creek,0304010203,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020302,22.750934334402743,14560.597972128802212,,3640,3663,63354.334808208630420,89844926.510010361671448,58924649.850366227328777,0.0035032
Upper Third Creek,030401020302,Third Creek,0304010203,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020303,24.713657022241254,15816.740492182489106,,11489,12679,50938.273107708926545,97414781.732106626033783,64008077.821426078677177,0.0000000
Middle Third Creek,030401020303,Third Creek,0304010203,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020304,41.158931269161393,26341.716008845971373,,7349,7964,75920.707306995740510,162106654.317594528198242,106601142.551956444978714,0.0000000
Lower Third Creek,030401020304,Third Creek,0304010203,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020403,12.029391701564128,7698.810688002272400,,965,1003,35768.010155102398130,47416494.559350535273552,31155981.447928559035063,0.4543274
Upper Fourth Creek,030401020401,Fourth Creek,0304010204,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020402,26.560119954401255,16998.476768611581065,,8242,8567,51763.860372218201519,104879322.311326622962952,68790394.735224723815918,0.0000000
Middle Fourth Creek,030401020402,Fourth Creek,0304010204,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020403,30.174870824706321,19311.917325306701969,,19343,21176,62579.338230849134561,119024438.908396467566490,78152556.672229573130608,0.0000000
Lower Fourth Creek,030401020403,Fourth Creek,0304010204,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020603,32.557641956638200,20836.890849545270612,,2787,2831,77597.348015819268767,128415493.439206138253212,84323905.615126281976700,2.6430402
Sills Creek-Back Creek,030401020501,Second Creek,0304010205,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020503,38.598434052370266,24702.997790312241705,,8325,10720,66825.033556252499693,151658305.274956911802292,99969485.105678468942642,3.4171126
Withrow Creek,030401020502,Second Creek,0304010205,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020503,49.893371708498343,31931.757889296419307,,7648,9387,85992.021522235736484,196288629.802288591861725,129223239.297919303178787,0.0303771
Upper Second Creek,030401020503,Second Creek,0304010205,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020504,26.198509870170589,16767.046314733983309,,2909,3089,56059.335632201473345,102953932.859567075967789,67853829.244292810559273,2.3820872
Lower Second Creek,030401020504,Second Creek,0304010205,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020603,26.834118341610097,17173.835736402492330,,3517,4360,55077.249633741026628,105712290.480270430445671,69500047.361366569995880,2.9194386
Bell Branch-South Yadkin River,030401020601,South Yadkin River,0304010206,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020603,28.148143484235764,18014.811827573819755,,2756,2596,66766.092578621217399,111200184.305024042725563,72903357.255942165851593,5.6652355
Bear Creek,030401020602,South Yadkin River,0304010206,South Yadkin,03040102,Yadkin Pee Dee,030401,030401020603,29.550944981380702,18912.604785630112019,,3599,3638,73070.648374405820505,116931128.610645279288292,76536596.342093318700790,0.0000000
Beaverdam Branch-South Yadkin River,030401020603,South Yadkin River,0304010206,South Yadkin,03040102,Yadkin Pee Dee,030401,030401030105,22.869372061136495,14636.398117228569390,,3409,4564,89723.334362138688448,90246180.597075834870338,59231401.730331800878048,12.7511892
Upper Grants Creek,030401030101,High Rock Lake-Yadkin River,0304010301,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030102,47.888720807698249,30648.781312950803112,,22188,23627,66647.857243124919478,188129934.428408533334732,124031217.132800787687302,0.4889736
Lower Grants Creek,030401030102,High Rock Lake-Yadkin River,0304010301,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030105,19.882624098899761,12724.879421645042385,,20406,21161,42784.312589849054348,78248815.303856894373894,51495757.794415391981602,2.6546509
South Potts Creek-North Potts Creek,030401030103,High Rock Lake-Yadkin River,0304010301,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030105,28.220291329662643,18060.986448641033348,,8078,8021,48626.246600038059114,111276498.640892088413239,73090218.994411841034889,0.0000000
Swearing Creek,030401030104,High Rock Lake-Yadkin River,0304010301,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030105,49.307789173865750,31556.985067180179612,,20639,24400,86339.977758859924506,194541180.505561411380768,127706587.252650782465935,0.0000000
Deals Creek-Yadkin River,030401030105,High Rock Lake-Yadkin River,0304010301,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030305,36.571819380570908,23405.964400528915576,,7148,7193,83403.691852095071226,144019880.077645123004913,94720577.222090587019920,9.0965042
Brushy Fork,030401030201,Abbotts Creek,0304010302,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030202,24.732252330028697,15828.641489164909217,,7066,8045,52677.051652824651683,97997359.332687079906464,64056239.332506850361824,0.3530421
Lake Tom-A-Lex-Abbotts Creek,030401030202,Abbotts Creek,0304010302,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030206,45.093101366296438,28859.584870685754140,,14621,16974,99661.299279272177955,178815658.309023022651672,116790596.705564513802528,0.0209572
Rich Fork,030401030203,Abbotts Creek,0304010302,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030204,48.898361741059965,31294.951510218470503,,41638,43998,89640.377183692908147,193565966.018059581518173,126646175.443835899233818,0.0000000
Hamby Creek,030401030204,Abbotts Creek,0304010302,Lower Yadkin,03040103,Yadkin Pee Dee,030401,030401030206,29.850944408389349,19104.604418890736270,,18225,18578,57882.322867204631621,117922757.958806946873665,77313591.171048581600189,0.0000000
